Release Date,Season,Episode,Episode Title,Name,Sentence
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,Our Uncle Euron returned home after a long absence. He murdered our father and took the Salt Throne from yara. He would have murdered us if we had stayed.
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,theon greyjoy,He won't be. I'll stay with him. With the Ironborn. I took this castle from you. Let me defend you now.
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,It's the only way to throw off the hounds
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,What are you doing?
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,A man. Your blood and your heir.
2015-05-24,Season 5,Episode 7,The Gift,theon greyjoy,"Not Theon, my lady. Reek."
2019-04-28,Season 8,Episode 3,The Long Night,theon greyjoy,Steady now. Make every shot count.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,Reek.
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"If there are any who still question whether your new lord means what he says, here is the answer to your question."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,They made me a promise
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,You swore to tell me if I-
2019-04-14,Season 8,Episode 1,Winterfell,theon greyjoy,Daenerys went north.
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,For killing your brothers.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,We should bury them.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Gold.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,"No, don't go. Please, please. No, please don't leave me. Please, please. Please, please don't go! Please. Please. Don't leave me. Please don't go."
2015-05-24,Season 5,Episode 7,The Gift,theon greyjoy,He'll see us. You don't know him.
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,It was a long time ago.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We have visitors.
