Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,Grenn!,Orders/Demands
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,Edd!,Orders/Demands
2013-03-31,Season 3,Episode 1,Valar Dohaeris,sam tarly,Brother?,People
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,No.,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,I can't.,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,You don't care.,Loyalty/Honour
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,"You left me. When the white walkers came, you left me.",Loyalty/Honour
2013-04-14,Season 3,Episode 3,Walk of Punishment,sam tarly,Ghost?,Trivial
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,I'm sorry. He's beautiful.,People
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,He's beautiful. Does he have a name?,People
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,Are you going to give him one?,Trivial
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,Gilly.,People
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,I wanted you to have it.,Plans/Strategy/Advice
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"But the more wood, the bigger the fire.",Plans/Strategy/Advice
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,Huh. You know your fires.,Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"It doesn't get so cold down in the Reach. And there were servants, of course.",Information/Lore
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"Oh, I found something at the Fist of the First Men. Buried treasure. Thousands of years old. I think.",Information/Lore
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"I'm not sure that it does anything. It's beautiful, though, isn't it?",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,Not so far. A few more days.,Information/Lore
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,Bigger. So big you can't even see the top sometimes. It's hidden in clouds.,Information/Lore
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"I'm not. It's seven hundred feet high, all made of ice. On a warm day you can see it weeping. Castle Black is nice enough. They keep a fire burning in the long hall day and night. And Hobb makes venison stew with onions. Very tasty. Sometimes, one of the brothers will sing. Dareon sings best.",Information/Lore
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"No. No, no, no. Not very well.",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"Oh, all right. Let's see.",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"Oh ahem. The father's face is stern and strong / He sits and judges right from wrong / He weighs our lives, the short and long / And loves the little children / The mother gives the gift of life / And watches over every wife / Her gentle smile ends all strife /And she loves her little children.",Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,It's getting dark. We could stay here for the night.,Information/Lore
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,How hard can it be to build a fire?,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,He winked at me before.,Information/Lore
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,I saw him wink at me.,Information/Lore
