Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"When they castrated you, did they take the pillar with the stones? l've always wondered.",Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,l picture a gash. Like a woman's. ls that about right?,Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"Must be strange for you, even after all these years… a man from another land, despised by most, feared by all.",Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,But you carry on whispering in one king's ear and then the next. l admire you.,Politics
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"A useful talent, l'm sure you'd agree.",Information/Lore
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,Playing our roles.,Trivial
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,Long may he reign. My king.,Loyalty/Honour
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"We have enough wheat for a five-year winter. If it lasts any longer, , we'll have fewer peasants.",Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Your Grace.,Politics
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"Of course, Your Grace.",Politics
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"If she's escaped the capital, Winterfell seems the logical destination.",Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Curious.,Trivial
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"Well, you could ask Varys where she is. He'll have an answer for you. Whether you believe it,,, Myself, I have always had a hard time trusting eunuchs. Who knows what they want?",Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Yes.,Trivial
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,I'm glad you like it. Some people are fortunate enough to be born into the right family. Others have to find their own way.,Plans/Strategy/Advice
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"When boys and girls live in the same home, awkward situations can arise. Sometimes, I've heard, even brothers and sisters develop certain affections. And when these affections become common knowledge, well, that is an awkward situation, indeed. Especially in a prominent family. But prominent families often forget a simple truth, I've found.",Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Knowledge is power.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,That's why they're called wildlings.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"One moment, my friend. A moment.",Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Please accept my sincerest apologies. Ramka will take good care of you.,People
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Shhh. Did he hurt you?,War/Violence
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Who?,People
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"Ah, yes, that was poorly handled. Sometimes those with the most power have the least grace.",Plans/Strategy/Advice
