Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,"is walking through a dark library. He heads to the restricted section and unlocks the barred gate. He begins removing books and scrolls from shelfs and stuff them in his satchel. After retrieving what he needs, SAM quickly walks to the exit of the library. He pauses before he leaves and turns around. He glances back at the library. It is many stories tall lined with countless shelves of books. SAMWELL looks at the library one last time, turns and walks out of the door.",Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,is loading a wagon with his things. He walks around to the driver seat. GILLY and SAM JR. are already in the wagon dressed for the road. SAM climbs aboard and takes the reins in his hand.,Trivial
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,sam tarly,Oh.,Trivial
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,sam tarly,It's not.,Trivial
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Oh!,Trivial
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Of course not.,Trivial
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Don't you know?,Trivial
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,sam tarly,"Oh, I'm sorry, I didn't mean to-",Trivial
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,Aye.,Trivial
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,He-,Trivial
