Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,And Qhorin Halfhand is the greatest ranger alive.,People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,"If you step back and think about it, the thing about Gilly that's so interesting is",People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,"No, truly. The thing about her that I find so interesting is that after all that Craster's done to her, she's still got hope that life might get better.",People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,And the thing about you that I find so interesting is absolutely nothing.,People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,It's Jon and the Halfhand. They're back.,People
2013-03-31,Season 3,Episode 1,Valar Dohaeris,sam tarly,Brother?,People
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,Yara?,People
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"For which I am extremely grateful to you, my lord. Lady Arryn and I have known each other since we were children. She has always been positively predisposed toward me.",People
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"Apparently, Her Grace believed that you two had some sort of special relationship.",People
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,I'm sorry. He's beautiful.,People
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,He's beautiful. Does he have a name?,People
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,Gilly.,People
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,Is he? And who's the lucky girl?,People
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,Petyr.,People
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,Torrhen Karstark.,People
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,Where is he?,People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,You thought of a name yet? It would be easier to refer to him if he had a name.,People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Don't you think he should have a name?,People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Let's see, there's Duncan, Kevan, Jo,n Guymon, Feldan, Tristifer.",People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"That's a lovely idea, but Mormont's a last name.",People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Who's your brother?,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,You're Jon's brother. The one who fell from the window.,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Maester.,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,She hasn't chosen a name yet.,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"Jon! Jon! Jon, it's us.",People
2013-06-09,Season 3,Episode 10,Mhysa,theon greyjoy,Theon Greyjoy.,People
2013-06-09,Season 3,Episode 10,Mhysa,theon greyjoy,Th- Theon Greyjoy.,People
2013-06-09,Season 3,Episode 10,Mhysa,theon greyjoy,Reek. My name is Reek.,People
2014-04-06,Season 4,Episode 1,Two Swords,sam tarly,No one's going to hang you. You've done nothing wrong.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,petyr baelish,"Petyr... Are you hurt, my lady?",People
2014-04-20,Season 4,Episode 3,Breaker of Chains,petyr baelish,Because he was a drunk and a fool and I don't trust drunk fools.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"100 men, one woman.",People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,That's the only thing they think about.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,I'm not being silly. There's 100 men lying awake at night picturing you.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,That's right. She'll clean and cook and look after the other girls' babies.,People
2014-04-27,Season 4,Episode 4,Oathkeeper,petyr baelish,Then perhaps it was your husband.,People
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,Craster's? You think Bra nmight have found...,People
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,"Lord Petyr Baelish and his niece, Alayne.",People
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,My lady.,People
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,Not Theon! Reek! Reek! My name is Reek!,People
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,"No, I don't believe her! I know who I am! I'm Reek! Reek! Loyal Reek! Good Reek! I've always been Reek!",People
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,I'm Reek! Loyal Reek!,People
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,Pretend to be who?,People
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,Children.,People
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,You're more beautiful than she ever was.,People
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,Call me Petyr.,People
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,"Oh, my sweet wife. My sweet, silly wife.",People
2014-05-18,Season 4,Episode 7,Mockingbird,sam tarly,"All right, Jon?",People
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,She might have.,People
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,I'm Reek.,People
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,Reek.,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,What was she like?,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Oh? How big were her feet?,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,I want you to tell me what it was like to have someone. To be with someone. To love someone and have them love you back. We're all gonna die a lot sooner than I'd planned. You're the closest I'll ever get to know it.,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,No...she just had a baby! ...and she never offered.,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"The interesting thing is, our vows never specifically forbid intimate relations with women.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"I shall take no wife"" yes, that's in there, there's no denying that. ""I shall father no children"" it's very specific. But what our vows have to say about other...activities...is open to interpretation.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Anyway, there's nothing for him to interpret. We didn't. So what's it like?",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"No, you're really not.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Maester Aemon. How did you know-,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Maester Faull,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"I'm sorry Maester, I didn't mean it like that.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Who was she?,People
2015-04-12,Season 5,Episode 1,The Wars to Come,petyr baelish,Lord Arryn will never be a great warrior.,People
2015-04-12,Season 5,Episode 1,The Wars to Come,petyr baelish,Some boys develop more slowly. He's still young.,People
2015-04-12,Season 5,Episode 1,The Wars to Come,petyr baelish,He has other gifts.,People
2015-04-12,Season 5,Episode 1,The Wars to Come,petyr baelish,The gift of a great name. Sometimes that's all one needs.,People
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,You are becoming an observant young lady.,People
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,"Please, Lady Brienne. No need for such formality. You are Catelyn Stark's sworn sword?",People
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,Strange. I knew Cat from the time we were children. She never mentioned you.,People
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,"Because I am her uncle. I married her Aunt Lysa shortly before my belovedo s untimely death. We're family now, and you're an outsider. Forgive me, Lady Brienne, but experiences made me wary of outsiders.",People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,"I only said that the more time you spend practicing, the faster you'll be able to read.",People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,"Three?! Who taught you, your mother?",People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,Did you ever see them?,People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,Maester Aemon.,People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,Her name is Gilly. Brother Slynt knows her quite well. They cowered together in the larder during the battle for the Wall.,People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,"A wildling girl, a baby, and Lord Janos. I found him there when the battle was over in a puddle of his own making.",People
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,"Whilst Lord Janos was hiding with the women and children, Jon Snow was leading.",People
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,Sansa Sansa,People
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,Always. You're a Stark. Dyeing your hair doesn't change that. You're Sansa Stark. The eldest surviving child of Ned and Catelyn Stark. Your place is in the North.,People
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,Sansa -,People
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,I hope so too. I've become quite fond of Lady Sansa during our travels together. She's suffered enough.,People
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,"I've heard very little about you. Which makes you quite a rare thing, as lords go.",People
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,He seems pleased.,People
2015-05-03,Season 5,Episode 4,Sons of the Harpy,petyr baelish,I thought I might find you here. . Your Aunt Lyanna.,People
2015-05-03,Season 5,Episode 4,Sons of the Harpy,sam tarly,Lord Ashford. . Lady Caulfield. . Lord Smallwood.,People
2015-05-03,Season 5,Episode 4,Sons of the Harpy,sam tarly,"Apologies, my Lady.",People
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,"Don't say that, Maester Aemon.",People
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,Sansa. Lady Sansa. She came to the kennels.,People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Yes? Lancel Lannister.,People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"We both peddle fantasies, Brother Lancel. Mine just happen to be entertaining.",People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,House Tyrell won't tolerate these insults.,People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,One's choice of companion is a curious thing.,People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Lysa was a good woman. A kind woman.,People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"That is why it is critical to strike soon, while the victor still licks his wounds. Surely your Uncle Kevan could muster a force.",People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"Ser Jaime, then.",People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,"Sansa of the House Stark comes here to be wed. A woman grown, trueborn and noble. She comes to beg the blessings of the gods. Who comes to claim her?",People
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,Theon of House Greyjoy. Who was… who was her father's ward.,People
2015-05-24,Season 5,Episode 7,The Gift,theon greyjoy,"Not Theon, my lady. Reek.",People
2015-05-24,Season 5,Episode 7,The Gift,theon greyjoy,"Reek, my lady, Reek!",People
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,How are you?,People
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,Are you scared?,People
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,You're a good lad.,People
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,Olly...,People
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,Not Theon. There is no Theon. Reek.,People
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,"Not Theon, Reek!",People
2015-06-14,Season 5,Episode 10,Mother’s Mercy,sam tarly,"Well, there's Edd.",People
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,The Defender of the Vale!,People
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,Indeed I was,People
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,"Sansa. Lady Brienne. When I heard you had escaped WInterfell, I feared the worst. You have no idea how happy I am to see you unharmed.",People
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,"Sansa, I --",People
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,Did he cut you?,People
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,Your brother's army.,People
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,Half-brother.,People
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,She is a reaver!,People
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,She is a warrior!,People
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,She is ironborn!,People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,And I certainly didn't expect to be introducing him to my family. So you know what to tell them.,People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, hello, Mother.",People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Talla? Gods, you're a woman now.",People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, um, Mother, this is Gilly.",People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, and this, this is our son Samwell.",People
