Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,Please.,Orders/Demands
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,"I'll tell you everything, please.",Orders/Demands
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,"Please, cut it off! Cut it off! Cut it off!",Orders/Demands
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,Please.,Orders/Demands
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,He sent you.,Orders/Demands
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,Help me. If he comes back-,Orders/Demands
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,"Please. No. No! Mercy, please! Please, mercy! Mercy!",Orders/Demands
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,"No! No! No! Please, no! No! No! No, please! Please!",Orders/Demands
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Go inside. Go back inside. I'll-,Orders/Demands
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Stay back!,Orders/Demands
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,You stay back!,Orders/Demands
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"Hush, now. You're home. Carry him inside. Gently.",Orders/Demands
2013-06-09,Season 3,Episode 10,Mhysa,theon greyjoy,Kill me.,Orders/Demands
2013-06-09,Season 3,Episode 10,Mhysa,theon greyjoy,Kill me!,Orders/Demands
2013-06-09,Season 3,Episode 10,Mhysa,theon greyjoy,Please.,Orders/Demands
2014-04-20,Season 4,Episode 3,Breaker of Chains,petyr baelish,"Come, my lady. I know you've had a difficult day. But you're safe now. I promise you that. You're safe with me and sailing home.",Orders/Demands
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"Oh, Gilly. Please don't.",Orders/Demands
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,Go. We'll speak soon.,Orders/Demands
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,You can't trick me. Tell him. Tell him you couldn't trick me.,Orders/Demands
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,Let me worry about Aunt Lysa.,Orders/Demands
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,Lysa! Let her go.,Orders/Demands
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,Let her go.,Orders/Demands
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,You are fading from sickness. You are badly outnumbered and you're hundreds of miles from the sea. Lord Bolton implores you to protect your men and abandon this fortress you can no longer hold. Do this and he will be just and fair with you as he is being with me. The Boltons will give you safe passage to the stony shore.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Let me help you.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,No.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Pyp! Open the gate.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Oh, Pyp. Open the fucking gate!",Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Yes, well, best get used to it.",Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Never.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,to Grenn* We need more men down here.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,to Olly* Get me to the top! You hear me?!,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Your name's Olly, right? Listen to me Olly, get me to the top and when we give a signal, bring us back down. Do you hear me?",Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,To...you can't do that. No one gave you any orders.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,What are you doing?,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Jon. Come back.,Orders/Demands
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,Over here Come on,Orders/Demands
2015-04-26,Season 5,Episode 3,High Sparrow,sam tarly,"Alright, alright! Enough of that.",Orders/Demands
2015-05-03,Season 5,Episode 4,Sons of the Harpy,petyr baelish,Come. . Let's speak somewhere the dead can't hear us. .,Orders/Demands
2015-05-03,Season 5,Episode 4,Sons of the Harpy,petyr baelish,I am.,Orders/Demands
2015-05-03,Season 5,Episode 4,Sons of the Harpy,sam tarly,They haven't heard of you either. . But we need men and they have some.,Orders/Demands
2015-05-03,Season 5,Episode 4,Sons of the Harpy,sam tarly,More than Lord Wibberley.,Orders/Demands
2015-05-03,Season 5,Episode 4,Sons of the Harpy,sam tarly,"I know, I'm sorry, but we need men and supplies. And Roose Bolton is the Warden of The North.",Orders/Demands
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,"I've come to escort you to the Godswood, my lady. If you please, my lady, will you take my arm?",Orders/Demands
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,"Lord Ramsay, he said I'm to take your arm.",Orders/Demands
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",theon greyjoy,Please. He'll punish me.,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,Get your hands off her. Brother Derryk. Brother Brand. I believe you both have guard duty tonight.,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,"Gilly go on, Get back to your room and lock the door.",Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,I'm warning you.,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,I said get your hands off her.,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,I'm alright.,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,I will not. They wouldo ve… I don't know what they would have done,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,Stay. Please.,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,theon greyjoy,Please…,Orders/Demands
2015-05-24,Season 5,Episode 7,The Gift,theon greyjoy,I'm sorry. I'm sorry!,Orders/Demands
2015-06-14,Season 5,Episode 10,Mother’s Mercy,theon greyjoy,Go with her. Please.,Orders/Demands
2016-05-01,Season 6,Episode 2,Home,theon greyjoy,May I take one of the horses?,Orders/Demands
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,Our lord has spoken Gather the Knights of the Vale The time has come to join the fray,Orders/Demands
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,Then I will die.,Orders/Demands
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,Say good-bye to him for me.,Orders/Demands
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,Get your things.,Orders/Demands
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,"A mountain of it. Beneath the ground. Stannis told me, but I didn't think... This is important. Jon needs to know.",Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"My name is Samwell Tarley. I'm a sworn brother of the Night's Watch training to serve as maester of Castle Black. I knew your father. I was with him when he died. You're not dying today, Ser Jorah.",Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,Drink this.,Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"Rum. Drink it all, please. I'm afraid this is going to hurt.",Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,If you could take off your shirt.,Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"If you wouldn't mind, bite down hard. I'm sorry but no one knows I'm here. If they hear you screaming then we're both finished.",Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"No. No one else will try, so I'm the best you've got. Have a seat. I'm going to remove the entire layer of infected tissue, then apply a medicinal ointment to the --",Orders/Demands
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"Shh, shhh. Again, I'm sorry. Please try not to scream.",Orders/Demands
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,This is for you.,Orders/Demands
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,I deny it! None of you were there to see what happened. None of you knows the truth.,Orders/Demands
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"Sansa, please.",Orders/Demands
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,I am Lord Protector of the Vale and I command you to escort me safely back to the Eyrie.,Orders/Demands
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,We're done with all that.,Orders/Demands
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,sam tarly,Why? What does he want?,Orders/Demands
2019-05-05,Season 8,Episode 4,The Last of the Starks,sam tarly,"Uh, hold on.",Orders/Demands
