Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2016-06-05,Season 6,Episode 7,The Broken Man,theon greyjoy,"If I got justice, my burnt body would hang over the gates of Winterfell.",Loyalty/Honour
2017-07-23,Season 7,Episode 2,Stormborn,petyr baelish,Forgive me. We have never talked properly. I wanted to remedy that.,Loyalty/Honour
2017-07-23,Season 7,Episode 2,Stormborn,petyr baelish,"Not even thank you? If it weren't for me you'd have been slaughtered at that battlefield. You have many enemies, My King, but I swear to you I'm not one of them. I love Sansa as I loved her mother.",Loyalty/Honour
2017-07-23,Season 7,Episode 2,Stormborn,theon greyjoy,Whatever my queen demands.,Loyalty/Honour
2017-07-30,Season 7,Episode 3,The Queen’s Justice,sam tarly,Your father saved me more than once. It's the least I could do.,Loyalty/Honour
2017-07-30,Season 7,Episode 3,The Queen’s Justice,sam tarly,"Thank you, Archmaester.",Loyalty/Honour
2017-07-30,Season 7,Episode 3,The Queen’s Justice,theon greyjoy,I couldn't save her. I tried.,Loyalty/Honour
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,"The other dagger, the one that took her life, I would have stopped that dagger with my own heart if I could have. I wasn't there for her when she needed me most. But I am here for her now. To do what she would have done, to protect her children. Anything I can do for you, Brandon, you need only ask.",Loyalty/Honour
2017-08-13,Season 7,Episode 5,Eastwatch,petyr baelish,Lady Stark thanks you for your service.,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,I did it to protect you.,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"Lady Sansa, I have known you since you were a girl. I've protected you.",Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,Give me a chance to defend myself. I deserve that.,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,I always wanted to do the right thing. Be the right kind of person. But I never knew what that meant. It always seemed like there's like there was an impossible choice I had to make. Stark or Greyjoy.,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,I did.,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,"When I was Ramsay's prisoner, Yara tried to save me. She's the only one who tried to save me. She needs me now.",Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,All of us chose to follow Yara. We left the Iron Islands for Yara. She would never leave one of us behind. We're not leaving her behind.,Loyalty/Honour
